Price_ID,Feature_ID,id,price,neighbourhood_cleansed,property_type,bathrooms,bedrooms,minimum_nights
1939,1939,1501857,380,Centrum-Oost,Apartment,3,3,3
1940,1940,705423,165,Centrum-Oost,Apartment,1,1,4
1941,1941,829703,96,Centrum-Oost,Apartment,0.5,1,5
1942,1942,670745,100,De Pijp - Rivierenbuurt,Apartment,1,1,2
1943,1943,1402697,65,Centrum-West,Apartment,1,1,5
1944,1944,1282966,80,Oud-Oost,Apartment,1,1,2
1945,1945,4546655,130,Westerpark,Apartment,1,1,1
1946,1946,671401,109,Centrum-West,Apartment,1,1,10
1947,1947,671457,139,Centrum-West,Apartment,1,1,5
1948,1948,1603403,140,Centrum-West,Apartment,1,1,25
1949,1949,1644337,75,Bos en Lommer,Apartment,1,0,7
1950,1950,671970,119,Centrum-West,Apartment,1,1,2
1951,1951,1580957,109,Centrum-West,Apartment,1,1,2
1952,1952,991560,195,De Baarsjes - Oud-West,Apartment,1,2,3
1953,1953,1190909,65,Oud-Oost,Apartment,1,1,2
1954,1954,2283708,99,Oud-Oost,Apartment,1,1,3
1955,1955,1548203,99,Westerpark,Apartment,1,1,2
1956,1956,673453,100,De Pijp - Rivierenbuurt,Apartment,1,2,3
1957,1957,5558593,70,Oud-Noord,Apartment,1,1,2
1958,1958,4515109,195,Centrum-Oost,Apartment,2,2,2
1959,1959,5547093,85,Centrum-Oost,Boat,1,1,3
1960,1960,675886,69,De Baarsjes - Oud-West,House,1,1,2
1961,1961,805130,79,Oud-Oost,Apartment,1,1,4
1962,1962,676922,148,Westerpark,Apartment,1,2,2
1963,1963,677922,85,De Baarsjes - Oud-West,Apartment,1,1,2
1964,1964,4789314,149,De Pijp - Rivierenbuurt,Apartment,1,2,5
1965,1965,677940,99,De Pijp - Rivierenbuurt,Apartment,1,1,1
1966,1966,1043454,99,De Pijp - Rivierenbuurt,Apartment,1,1,2
1967,1967,4921102,33,De Pijp - Rivierenbuurt,Apartment,1,1,2
1968,1968,1096739,170,De Pijp - Rivierenbuurt,Apartment,1.5,2,1
1969,1969,810730,250,Centrum-Oost,Apartment,1.5,1,1
1970,1970,678462,88,Slotervaart,Apartment,2,2,2
1971,1971,678819,220,Zuid,Apartment,1,3,3
1972,1972,2763589,39,Oostelijk Havengebied - Indische Buurt,Apartment,1,1,1
1973,1973,2003639,140,Oud-Noord,Apartment,1,2,3
